,Variable,Winner N,Loser N,Winner Mean,Loser Mean,Difference,p-value
0,General vote share,4206,3923,0.654,0.317,0.337,<0.001
1,Total receipts (USD),4206,3923,"$1,831,428","$721,754","$1,109,674",<0.001
2,Total disbursements (USD),4206,3923,"$1,705,488","$719,969","$985,519",<0.001
3,Cash on hand (USD),4206,3923,"$506,880","$15,183","$491,697",<0.001
4,ln(1 + total receipts),4206,3923,14.142,11.949,2.193,<0.001
5,Burn rate,4206,3923,0.931,0.974,-0.043,<0.001
6,Cash ratio,4206,3923,0.330,0.041,0.288,<0.001
7,Individual contribution share,4206,3923,0.521,0.658,-0.137,<0.001
8,Other committee contribution share,4206,3923,0.425,0.091,0.334,<0.001
9,Party contribution share,4206,3923,0.002,0.015,-0.013,<0.001
